"No. Pesanan","Status Pesanan","Alasan Pembatalan","Status Pembatalan/ Pengembalian","No. Resi","Opsi Pengiriman","Antar ke counter/ pick-up","Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan)","Waktu Pengiriman Diatur","Waktu Pesanan Dibuat","Waktu Pembayaran Dilakukan","Metode Pembayaran","SKU Induk","Nama Produk","Nomor Referensi SKU","Nama Variasi","Harga Awal","Harga Setelah Diskon","Jumlah","Returned quantity","Total Harga Produk","Total Diskon","Diskon Dari Penjual","Diskon Dari Shopee","Berat Produk","Jumlah Produk di Pesan","Total Berat","Voucher Ditanggung Penjual","Cashback Koin","Voucher Ditanggung Shopee","Paket Diskon","Paket Diskon (Diskon dari Shopee)","Paket Diskon (Diskon dari Penjual)","Potongan Koin Shopee","Diskon Kartu Kredit","Ongkos Kirim Dibayar oleh Pembeli","Estimasi Potongan Biaya Pengiriman","Ongkos Kirim Pengembalian Barang","Total Pembayaran","Perkiraan Ongkos Kirim","Catatan dari Pembeli","Catatan","Username (Pembeli)","Nama Penerima","No. Telepon","Alamat Pengiriman","Kota/Kabupaten","Provinsi","Waktu Pesanan Selesai"
"240927IYKID91Z","Selesai","","","SICEPAT2707783689","Instant","Antar ke counter","2024-09-29 21:40","2024-09-29 21:40","2024-09-27 21:09","2024-09-27 21:40","ShopeePay","BLO-004","Blouse Wanita Kekinian Import","BLO-004-Beige-All Size","Beige, All Size","396000","242400","3","0","727200","460800","0","0","316","3","948","0","0","0","0","0","0","2679","0","0","25000","0","724521","25000","","","user_q8myx4","Pembeli 9742","6288556573246","Jl. Mawar No. 70, RT 01/RW 02","Surabaya","Jawa Timur","2024-10-03 21:40"
"2402096YFPMVXP","Dibatalkan","Penjual tidak merespon","Dibatalkan oleh Pembeli","","Kargo","Pick-up","2024-02-11 01:44","","2024-02-09 00:47","","Kartu Kredit","ROK-003","Rok Midi Wanita Formal Import","ROK-003-Hitam-L","Hitam, L","288000","193300","3","0","579900","284100","10000","0","304","3","912","10000","0","0","0","0","0","0","0","20000","0","0","589900","20000","","","user_5wi6fq","Pembeli 5161","6287268807553","Jl. Mawar No. 86, RT 01/RW 08","Bandung","Jawa Barat",""
"240407H25NSJF6","Dikirim","","","SPX9813326083","Kargo","Antar ke counter","2024-04-09 04:04","2024-04-08 11:04","2024-04-07 03:05","2024-04-07 04:04","ShopeePay","CEL-001","Celana Kulot Wanita Rajut Terbaru","CEL-001-Mustard-S","Mustard, S","376000","237400","4","0","949600","554400","0","0","339","4","1356","0","0","0","0","0","0","0","0","0","25000","0","949600","25000","","","user_6xlpu0","Pembeli 2476","6289201789018","Jl. Mawar No. 42, RT 07/RW 03","Surabaya","Jawa Timur",""
"2407069EITNN8Z","Selesai","","","JNT8407266385","Kargo","Pick-up","2024-07-08 04:52","2024-07-07 10:52","2024-07-06 03:08","2024-07-06 04:52","Kartu Kredit","JAK-050","Jaket Wanita Basic Elegan","JAK-050-Hitam-L","Hitam, L","269000","205000","4","0","820000","256000","0","0","371","4","1484","0","0","0","0","0","0","0","0","0","30000","0","820000","30000","","","user_lvxwqz","Pembeli 7689","6281501119337","Jl. Mawar No. 6, RT 01/RW 05","Depok","Jawa Barat","2024-07-08 10:52"
"240728JGXAA2IL","Selesai","","","SICEPAT6869262423","Instant","Antar ke counter","2024-07-30 19:51","2024-07-29 16:51","2024-07-28 18:57","2024-07-28 19:51","Transfer Bank","TUN-069","Tunik Wanita Premium Murah","TUN-069-Sage green-S","Sage green, S","414000","335600","2","0","671200","156800","0","0","389","2","778","0","0","0","0","0","0","0","0","30000","0","0","701200","30000","","","user_2h3tv3","Pembeli 4817","6285307145891","Jl. Mawar No. 19, RT 03/RW 09","Yogyakarta","DI Yogyakarta","2024-08-01 16:51"
"2403082EX5T5P5","Selesai","","","SPX7574751590","Instant","Antar ke counter","2024-03-10 16:39","2024-03-09 07:39","2024-03-08 16:05","2024-03-08 16:39","Kartu Kredit","CEL-038","Celana Kulot Wanita Motif Bunga Elegan","CEL-038-Maroon-S","Maroon, S","311000","288800","4","0","1155200","88800","10000","0","192","4","768","10000","0","0","0","0","0","0","0","0","20000","0","1145200","20000","","","user_fewvzn","Pembeli 9692","6286561543484","Jl. Mawar No. 65, RT 07/RW 02","Makassar","Sulawesi Selatan","2024-03-14 07:39"
"2406093493WXA7","Selesai","","","SICEPAT4046319080","Same Day","Pick-up","2024-06-11 17:45","2024-06-11 10:45","2024-06-09 17:01","2024-06-09 17:45","COD","SWE-095","Sweater Wanita Slim Fit Bahan Adem","SWE-095-Sage green-M","Sage green, M","234000","176700","5","0","883500","286500","5000","15000","323","5","1615","5000","0","15000","0","0","0","4555","0","30000","0","0","888945","30000","","","user_vmuhxi","Pembeli 2773","6287684109313","Jl. Mawar No. 15, RT 05/RW 04","Jakarta","DKI Jakarta","2024-06-12 10:45"
"241118YVSLH9BH","Selesai","","","JP1733085416","Kargo","Pick-up","2024-11-20 04:37","2024-11-19 09:37","2024-11-18 03:08","2024-11-18 04:37","ShopeePay","JAK-011","Jaket Wanita Polos Import","JAK-011-Lilac-M","Lilac, M","390000","319100","4","0","1276400","283600","0","0","167","4","668","0","0","0","0","0","0","0","0","30000","0","0","1306400","30000","","","user_yjxrpj","Pembeli 9394","6285783809766","Jl. Mawar No. 56, RT 02/RW 05","Depok","Jawa Barat","2024-11-20 09:37"
"240323C50H2CWT","Selesai","","","JNT2144152563","Same Day","Pick-up","2024-03-25 02:29","2024-03-23 22:29","2024-03-23 00:50","2024-03-23 02:29","COD","CRO-094","Crop Top Wanita Slim Fit Murah","CRO-094-Hitam-XL","Hitam, XL","65000","61300","1","0","61300","3700","10000","0","397","1","397","10000","0","0","0","0","0","0","0","0","25000","0","51300","25000","","","user_g8qynp","Pembeli 2734","6286340003593","Jl. Mawar No. 76, RT 07/RW 09","Jakarta","DKI Jakarta","2024-03-27 22:29"
"240316QT26Q3XL","Selesai","","","JNT7882116761","Same Day","Pick-up","2024-03-18 09:14","2024-03-17 19:14","2024-03-16 07:18","2024-03-16 09:14","COD","KAO-059","Kaos Wanita Oversize Elegan","KAO-059-Mustard-All Size","Mustard, All Size","386000","306100","5","0","1530500","399500","10000","0","395","5","1975","10000","0","0","0","0","0","0","0","30000","0","0","1550500","30000","","","user_vmcqbn","Pembeli 5703","6289919491730","Jl. Mawar No. 12, RT 09/RW 07","Medan","Sumatera Utara","2024-03-21 19:14"
"240703V7LN23Y3","Selesai","","","JP4889060795","Kargo","Antar ke counter","2024-07-05 18:16","2024-07-04 15:16","2024-07-03 17:11","2024-07-03 18:16","COD","CRO-020","Crop Top Wanita Oversize Terbaru","CRO-020-Sage green-L","Sage green, L","138000","86800","4","0","347200","204800","0","0","383","4","1532","0","0","0","0","0","0","1387","0","0","30000","0","345813","30000","","","user_j48vfc","Pembeli 3317","6289232363331","Jl. Mawar No. 40, RT 07/RW 03","Semarang","Jawa Tengah","2024-07-09 15:16"
"241013YUP12SPF","Selesai","","","JP6433129421","Kargo","Antar ke counter","2024-10-15 23:20","2024-10-15 20:20","2024-10-13 21:52","2024-10-13 23:20","Transfer Bank","HIJ-037","Hijab Wanita Vintage Bahan Adem","HIJ-037-Putih-All Size","Putih, All Size","422000","287000","5","0","1435000","675000","0","0","182","5","910","0","0","0","0","0","0","4405","0","25000","0","0","1455595","25000","","","user_zbnz8v","Pembeli 8355","6286322188162","Jl. Mawar No. 61, RT 04/RW 06","Depok","Jawa Barat","2024-10-16 20:20"
"240318W6AHF7VP","Selesai","","","JNT0439751014","Kargo","Antar ke counter","2024-03-20 15:02","2024-03-19 11:02","2024-03-18 13:19","2024-03-18 15:02","Transfer Bank","CAR-018","Cardigan Wanita Motif Bunga Murah","CAR-018-Navy-S","Navy, S","423000","261700","2","0","523400","322600","5000","0","348","2","696","5000","0","0","0","0","0","0","0","20000","0","0","538400","20000","","","user_b74x2e","Pembeli 5700","6284569592370","Jl. Mawar No. 98, RT 08/RW 08","Makassar","Sulawesi Selatan","2024-03-24 11:02"
"241028MX3Y9RGE","Selesai","","","JNT1266084565","Hemat","Antar ke counter","2024-10-30 11:04","2024-10-29 14:04","2024-10-28 10:27","2024-10-28 11:04","SPayLater","HIJ-037","Hijab Wanita Vintage Bahan Adem","HIJ-037-Navy-S","Navy, S","422000","310100","2","0","620200","223800","0","0","182","2","364","0","0","0","0","0","0","0","0","0","25000","0","620200","25000","","","user_9ja2m0","Pembeli 2698","6282428156550","Jl. Mawar No. 6, RT 06/RW 09","Jakarta","DKI Jakarta","2024-10-31 14:04"
"241005LKQZFPQ0","Selesai","","","JP2010959527","Kargo","Pick-up","2024-10-07 03:41","2024-10-06 20:41","2024-10-05 02:01","2024-10-05 03:41","SPayLater","CAR-036","Cardigan Wanita Polos Terbaru","CAR-036-Sage green-S","Sage green, S","73000","47200","3","0","141600","77400","10000","0","337","3","1011","10000","0","0","0","0","0","0","0","0","20000","0","131600","20000","","","user_n2jcpp","Pembeli 3956","6287637761996","Jl. Mawar No. 42, RT 02/RW 02","Bekasi","Jawa Barat","2024-10-08 20:41"
"241220NUJJQ9K6","Dikirim","","","JNT6706457108","Kargo","Pick-up","2024-12-22 01:33","2024-12-21 16:33","2024-12-20 00:47","2024-12-20 01:33","COD","DRE-086","Dress Wanita Slim Fit Import","DRE-086-Maroon-S","Maroon, S","379000","343300","2","0","686600","71400","0","0","213","2","426","0","0","0","0","0","0","0","0","0","20000","0","686600","20000","","","user_pcenlk","Pembeli 2858","6289701231535","Jl. Mawar No. 24, RT 08/RW 09","Makassar","Sulawesi Selatan",""
"240709QYM52XG8","Selesai","","","SPX8484068330","Same Day","Antar ke counter","2024-07-11 18:45","2024-07-10 13:45","2024-07-09 18:19","2024-07-09 18:45","COD","HIJ-037","Hijab Wanita Vintage Bahan Adem","HIJ-037-Dusty pink-M","Dusty pink, M","422000","295800","2","0","591600","252400","0","0","182","2","364","0","0","0","0","0","0","0","0","0","5000","0","591600","5000","","","user_tn2twd","Pembeli 6067","6283469178881","Jl. Mawar No. 17, RT 06/RW 02","Jakarta","DKI Jakarta","2024-07-15 13:45"
"240617KCCPRHVL","Selesai","","","JP5319295201","Hemat","Antar ke counter","2024-06-19 01:22","2024-06-17 16:22","2024-06-17 00:17","2024-06-17 01:22","ShopeePay","ROK-035","Rok Mini Wanita Slim Fit Murah","ROK-035-Beige-L","Beige, L","152000","111700","1","0","111700","40300","5000","0","164","1","164","5000","0","0","0","0","0","0","0","0","10000","0","106700","10000","","","user_81jhuw","Pembeli 1496","6289403748506","Jl. Mawar No. 62, RT 04/RW 07","Bandung","Jawa Barat","2024-06-22 16:22"
"241005P501NOUH","Selesai","","","SICEPAT1353422023","Hemat","Antar ke counter","2024-10-08 00:18","2024-10-07 10:18","2024-10-05 23:37","2024-10-06 00:18","ShopeePay","KAO-053","Kaos Wanita Casual Elegan","KAO-053-Coklat-M","Coklat, M","123000","81800","5","0","409000","206000","10000","15000","221","5","1105","10000","0","15000","0","0","0","0","0","0","20000","0","384000","20000","","","user_doqivb","Pembeli 5609","6287316122432","Jl. Mawar No. 69, RT 01/RW 02","Bekasi","Jawa Barat","2024-10-12 10:18"
"240802LDOL65WV","Selesai","","","SICEPAT5729619373","Reguler","Antar ke counter","2024-08-04 21:01","2024-08-03 13:01","2024-08-02 20:24","2024-08-02 21:01","Transfer Bank","SET-096","Setelan Wanita Korean Style Terbaru","SET-096-Beige-M","Beige, M","163000","120500","4","0","482000","170000","10000","15000","195","4","780","10000","0","15000","0","0","0","1610","0","0","10000","0","455390","10000","","","user_lwf90k","Pembeli 6511","6287712708591","Jl. Mawar No. 61, RT 01/RW 06","Tangerang","Banten","2024-08-06 13:01"
"2404138KK791ZY","Selesai","","","SPX7516681609","Hemat","Pick-up","2024-04-15 04:19","2024-04-15 04:19","2024-04-13 02:55","2024-04-13 04:19","Transfer Bank","CRO-024","Crop Top Wanita Slim Fit Import","CRO-024-Hitam-XL","Hitam, XL","100000","84000","2","0","168000","32000","10000","0","280","2","560","10000","0","0","0","0","0","0","0","0","25000","0","158000","25000","","","user_u9rn8q","Pembeli 9734","6288272725281","Jl. Mawar No. 79, RT 08/RW 04","Tangerang","Banten","2024-04-16 04:19"
"240708D1AT7O75","Selesai","","","JNT5972558337","Instant","Pick-up","2024-07-10 22:31","2024-07-10 16:31","2024-07-08 21:50","2024-07-08 22:31","Transfer Bank","HIJ-037","Hijab Wanita Vintage Bahan Adem","HIJ-037-Hitam-L","Hitam, L","422000","259800","1","0","259800","162200","0","0","182","1","182","0","0","0","0","0","0","4821","0","0","30000","0","254979","30000","","","user_d0ib6i","Pembeli 4814","6281225447588","Jl. Mawar No. 53, RT 06/RW 08","Medan","Sumatera Utara","2024-07-12 16:31"
"240704AMKYGVWO","Selesai","","","JNT3690557991","Reguler","Pick-up","2024-07-06 11:32","2024-07-05 11:32","2024-07-04 10:08","2024-07-04 11:32","Kartu Kredit","BLO-004","Blouse Wanita Kekinian Import","BLO-004-Navy-XL","Navy, XL","396000","350400","3","0","1051200","136800","5000","0","316","3","948","5000","0","0","0","0","0","2861","0","0","25000","0","1043339","25000","","","user_r74qge","Pembeli 3662","6288435100486","Jl. Mawar No. 83, RT 05/RW 03","Tangerang","Banten","2024-07-07 11:32"
"240615YW7NH8RQ","Dibatalkan","Waktu pengiriman terlalu lama","Dibatalkan oleh Sistem","","Kargo","Antar ke counter","2024-06-17 03:34","","2024-06-15 02:28","","COD","CEL-085","Celana Kulot Wanita Korean Style Murah","CEL-085-Putih-M","Putih, M","216000","131000","4","0","524000","340000","0","15000","380","4","1520","0","0","15000","0","0","0","0","0","5000","0","0","514000","5000","","","user_uujmiy","Pembeli 8625","6282317723211","Jl. Mawar No. 52, RT 09/RW 05","Makassar","Sulawesi Selatan",""
"240823SQCQ30O3","Dibatalkan","Salah pilih variasi","Dibatalkan oleh Pembeli","","Reguler","Pick-up","2024-08-25 06:41","","2024-08-23 05:53","","Transfer Bank","HIJ-060","Hijab Wanita Casual Import","HIJ-060-Lilac-M","Lilac, M","181000","123700","5","0","618500","286500","0","0","205","5","1025","0","0","0","0","0","0","1252","0","0","25000","0","617248","25000","","","user_uflseh","Pembeli 9008","6287487012742","Jl. Mawar No. 8, RT 08/RW 03","Tangerang","Banten",""
"241016J70E3P15","Dikirim","","","JP4750894211","Instant","Pick-up","2024-10-18 15:52","2024-10-17 07:52","2024-10-16 15:24","2024-10-16 15:52","SPayLater","KAO-082","Kaos Wanita Kekinian Elegan","KAO-082-Navy-L","Navy, L","317000","191000","4","0","764000","504000","0","0","152","4","608","0","0","0","0","0","0","0","0","20000","0","0","784000","20000","","","user_t0iaak","Pembeli 9920","6281986399651","Jl. Mawar No. 59, RT 06/RW 03","Tangerang","Banten",""
"240107LOFN1R4K","Selesai","","","JP1057074228","Same Day","Pick-up","2024-01-09 02:20","2024-01-08 03:20","2024-01-07 01:49","2024-01-07 02:20","ShopeePay","CAR-017","Cardigan Wanita Casual Elegan","CAR-017-Lilac-L","Lilac, L","224000","194400","5","0","972000","148000","0","0","219","5","1095","0","0","0","0","0","0","0","0","10000","0","0","982000","10000","","","user_uv0gyu","Pembeli 1768","6289470922075","Jl. Mawar No. 83, RT 07/RW 09","Medan","Sumatera Utara","2024-01-09 03:20"
"241001LM5Q201L","Selesai","","","JP5951226980","Reguler","Antar ke counter","2024-10-03 19:24","2024-10-03 12:24","2024-10-01 19:05","2024-10-01 19:24","ShopeePay","BLO-006","Blouse Wanita Casual Elegan","BLO-006-Dusty pink-XL","Dusty pink, XL","204000","145700","5","0","728500","291500","0","15000","221","5","1105","0","0","15000","0","0","0","0","0","0","25000","0","713500","25000","","","user_hg0016","Pembeli 4350","6286510697299","Jl. Mawar No. 60, RT 09/RW 06","Medan","Sumatera Utara","2024-10-05 12:24"
"240319EWCFHQCW","Selesai","","","SICEPAT0870557212","Instant","Pick-up","2024-03-21 22:05","2024-03-21 06:05","2024-03-19 21:17","2024-03-19 22:05","SPayLater","KAO-031","Kaos Wanita Korean Style Murah","KAO-031-Maroon-All Size","Maroon, All Size","286000","206200","3","0","618600","239400","5000","0","345","3","1035","5000","0","0","0","0","0","1573","0","20000","0","0","632027","20000","","","user_g698s4","Pembeli 2217","6283869963931","Jl. Mawar No. 98, RT 01/RW 07","Tangerang","Banten","2024-03-26 06:05"
"241228RWZC4XL9","Selesai","","","SICEPAT0540752564","Kargo","Pick-up","2024-12-30 17:55","2024-12-30 11:55","2024-12-28 16:36","2024-12-28 17:55","Kartu Kredit","ROK-013","Rok Midi Wanita Formal Terbaru","ROK-013-Putih-All Size","Putih, All Size","224000","201100","2","0","402200","45800","0","0","221","2","442","0","0","0","0","0","0","0","0","0","15000","0","402200","15000","","","user_izk3c9","Pembeli 1519","6285696548897","Jl. Mawar No. 49, RT 07/RW 09","Bekasi","Jawa Barat","2025-01-01 11:55"
"240207RM7PYXDW","Selesai","","","JP2965296256","Kargo","Antar ke counter","2024-02-09 02:45","2024-02-08 23:45","2024-02-07 00:50","2024-02-07 02:45","ShopeePay","OUT-040","Outer Wanita Kekinian Import","OUT-040-Hitam-M","Hitam, M","395000","294100","4","0","1176400","403600","10000","0","229","4","916","10000","0","0","0","0","0","2572","0","25000","0","0","1188828","25000","","","user_s9bp4m","Pembeli 7499","6282401777036","Jl. Mawar No. 82, RT 05/RW 08","Surabaya","Jawa Timur","2024-02-10 23:45"
"241105JFGJK2N7","Selesai","","","JP2371330947","Instant","Antar ke counter","2024-11-07 22:56","2024-11-06 14:56","2024-11-05 22:24","2024-11-05 22:56","COD","ROK-016","Rok Midi Wanita Polos Import","ROK-016-Putih-M","Putih, M","303000","242100","5","0","1210500","304500","0","0","336","5","1680","0","0","0","0","0","0","0","0","5000","0","0","1215500","5000","","","user_o20u9i","Pembeli 9537","6282635231601","Jl. Mawar No. 18, RT 05/RW 05","Jakarta","DKI Jakarta","2024-11-07 14:56"
"24100632ORWIXZ","Selesai","","","SPX4103838448","Hemat","Pick-up","2024-10-09 00:37","2024-10-08 19:37","2024-10-06 23:16","2024-10-07 00:37","SPayLater","CAR-017","Cardigan Wanita Casual Elegan","CAR-017-Dusty pink-L","Dusty pink, L","224000","165500","2","0","331000","117000","10000","0","219","2","438","10000","0","0","0","0","0","0","0","15000","0","0","336000","15000","","","user_n7h9g1","Pembeli 1440","6284042413312","Jl. Mawar No. 57, RT 05/RW 02","Medan","Sumatera Utara","2024-10-13 19:37"
"241102SSUUQO1V","Dibatalkan","Berubah pikiran","Dibatalkan oleh Pembeli","","Instant","Antar ke counter","2024-11-04 11:32","","2024-11-02 10:43","","Transfer Bank","ROK-076","Rok Mini Wanita Vintage Bahan Adem","ROK-076-Maroon-All Size","Maroon, All Size","109000","88300","5","0","441500","103500","0","0","219","5","1095","0","0","0","0","0","0","0","0","0","15000","0","441500","15000","","","user_xb9yo1","Pembeli 8052","6281455028401","Jl. Mawar No. 13, RT 05/RW 04","Makassar","Sulawesi Selatan",""
"240713QPAHKZ2U","Selesai","","","JP4290873375","Kargo","Antar ke counter","2024-07-15 09:00","2024-07-14 19:00","2024-07-13 08:40","2024-07-13 09:00","Kartu Kredit","HIJ-060","Hijab Wanita Casual Import","HIJ-060-Putih-XL","Putih, XL","181000","126200","4","0","504800","219200","5000","0","205","4","820","5000","0","0","0","0","0","0","0","30000","0","0","529800","30000","","","user_gfu8io","Pembeli 4022","6288118083267","Jl. Mawar No. 51, RT 01/RW 04","Yogyakarta","DI Yogyakarta","2024-07-17 19:00"
"241106KG4W58RH","Selesai","","","SPX3116493331","Same Day","Antar ke counter","2024-11-08 13:46","2024-11-08 11:46","2024-11-06 11:54","2024-11-06 13:46","COD","CRO-058","Crop Top Wanita Korean Style Elegan","CRO-058-Mustard-M","Mustard, M","165000","109800","3","0","329400","165600","0","0","387","3","1161","0","0","0","0","0","0","0","0","30000","0","0","359400","30000","","","user_yspeng","Pembeli 9804","6285294535887","Jl. Mawar No. 72, RT 03/RW 08","Surabaya","Jawa Timur","2024-11-11 11:46"
"2405295E3H0Y4V","Selesai","","","SICEPAT4474157202","Reguler","Antar ke counter","2024-05-31 03:49","2024-05-30 23:49","2024-05-29 02:37","2024-05-29 03:49","Kartu Kredit","SET-021","Setelan Wanita Formal Elegan","SET-021-Maroon-All Size","Maroon, All Size","232000","160100","4","0","640400","287600","5000","0","376","4","1504","5000","0","0","0","0","0","4112","0","0","15000","0","631288","15000","","","user_hp0xi5","Pembeli 1528","6287226553010","Jl. Mawar No. 45, RT 02/RW 08","Bekasi","Jawa Barat","2024-06-02 23:49"
"2406158LA100QX","Selesai","","","SPX8855519259","Kargo","Antar ke counter","2024-06-17 07:10","2024-06-16 03:10","2024-06-15 06:48","2024-06-15 07:10","SPayLater","DRE-086","Dress Wanita Slim Fit Import","DRE-086-Putih-M","Putih, M","379000","232300","4","0","929200","586800","0","0","213","4","852","0","0","0","0","0","0","0","0","0","30000","0","929200","30000","","","user_rujoqw","Pembeli 2525","6288515344013","Jl. Mawar No. 89, RT 06/RW 08","Yogyakarta","DI Yogyakarta","2024-06-21 03:10"
