"Pesanan (Toko, Live)","Tanggal Pesanan","Kategori","Nama Produk","variasi","Harga","Jumlah","Total","Metode pembayaran(Cash,Tf,Qris)","No Telepon"
"Toko","2024-01-14","Peralatan Pengaduk & Pencampur","[NEW] Centong","1.5L","17000","2","34000","Cash",""
"Live","2024-01-14","Peralatan Pengukuran","[SCD] Timbangan Dapur","Kayu","48000","3","144000","Tf","084276247461"
"Toko","2024-01-15","Peralatan Minum","[PRV] Mug Keramik","Putih","9000","1","9000","Tf",""
"Live","2024-01-15","Peralatan Pemanas","[NEW] Kompor Listrik","Silver","170000","3","510000","Tf","081617279305"
"Toko","2024-01-15","Peralatan Pendingin","[NEW] Cooler Bag","250ml","77000","3","231000","Qris",""
"Toko","2024-01-16","Peralatan Pengaduk & Pencampur","[NEW] Spatula","5L","13000","1","13000","Cash",""
"Live","2024-01-16","Peralatan Pemotong Khusus","[NEW] Gunting Dapur","Stainless","83000","4","332000","Tf","086954081645"
"Live","2024-01-17","Peralatan Memasak Utama","[NEW] Teflon","Biru","297000","3","891000","Tf","089129504590"
"Toko","2024-01-17","Peralatan Baking","[SCD] Kuas Kue","Merah","48500","4","194000","Qris",""
"Toko","2024-01-18","Peralatan Penyimpanan Makanan","[NEW] Rak Bumbu","Hitam","22000","4","88000","Qris",""
"Live","2024-01-18","Peralatan Kebersihan Dapur","[NEW] Lap Dapur","Kayu","16000","3","48000","Tf","089534193268"
"Toko","2024-01-19","Peralatan Pengukuran","[NEW] Gelas Ukur","Stainless","30000","2","60000","Tf",""
"Toko","2024-01-19","Peralatan Baking","[PRV] Loyang Kue","Plastik","203500","4","814000","Tf",""
"Live","2024-01-19","Peralatan Persiapan Bahan","[NEW] Talenan","Stainless","19000","5","95000","Tf","083744690727"
"Toko","2024-01-19","Peralatan Pendingin","[NEW] Cetakan Es Batu","Sedang","77000","3","231000","Cash",""
"Toko","2024-01-19","Peralatan Pengukuran","[NEW] Gelas Ukur","500ml","44000","4","176000","Tf",""
"Live","2024-01-20","Peralatan Pendingin","[PRV] Cetakan Es Batu","Kayu","40500","5","202500","Qris","086917951510"
"Toko","2024-01-20","Peralatan Penyaring & Peniris","[NEW] Keranjang Cuci Sayur","Hitam","27000","3","81000","Tf",""
"Live","2024-01-21","Peralatan Penyaring & Peniris","[NEW] Saringan Teh","Kayu","92000","5","460000","Tf","084369374345"
"Live","2024-01-21","Peralatan Pendingin","[SCD] Cooler Bag","1.5L","13500","4","54000","Tf","081525568125"
"Live","2024-01-21","Peralatan Khusus / Unik","[NEW] Pemecah Kemiri","500ml","76000","4","304000","Tf","087754104949"
"Toko","2024-01-21","Peralatan Pengaduk & Pencampur","[SCD] Centong","Putih","27000","5","135000","Cash",""
"Toko","2024-01-22","Peralatan Khusus / Unik","[NEW] Pemecah Kemiri","Stainless","83000","3","249000","Tf",""
"Live","2024-01-22","Peralatan Memasak Utama","[NEW] Wajan","Putih","193000","3","579000","Tf","081402681963"
"Live","2024-01-22","Peralatan Memasak Utama","[NEW] Teflon","1L","245000","5","1225000","Tf","083418298562"
"Toko","2024-01-22","Peralatan Elektronik Dapur Kecil","[PRV] Mixer","Silver","547500","2","1095000","Cash",""
"Live","2024-01-23","Peralatan Memasak Utama","[NEW] Panci","Kecil","212000","1","212000","Tf","082498228954"
"Live","2024-01-24","Peralatan Kebersihan Dapur","[NEW] Spons Cuci Piring","5L","74000","2","148000","Tf","088180663343"
"Live","2024-01-24","Peralatan Khusus / Unik","[NEW] Alat Pembuat Sushi","1.5L","94000","2","188000","Tf","087088213019"
"Toko","2024-01-25","Peralatan Minum","[NEW] Teko Air","Kecil","75000","3","225000","Qris",""
"Live","2024-01-25","Peralatan Minum","[SCD] Termos","5L","33500","1","33500","Qris","082421700570"
"Live","2024-01-25","Peralatan Pengaduk & Pencampur","[NEW] Sendok Sayur","Kayu","65000","1","65000","Tf","089787688911"
"Toko","2024-01-25","Peralatan Khusus / Unik","[NEW] Pengupas Nanas","5L","72000","5","360000","Qris",""
"Live","2024-01-25","Peralatan Penyaring & Peniris","[SCD] Peniris Gorengan","5L","19000","2","38000","Tf","088405076200"
"Toko","2024-01-25","Peralatan Khusus / Unik","[NEW] Cetakan Bento","5L","50000","4","200000","Tf",""
"Toko","2024-01-25","Peralatan Penyajian","[SCD] Piring Saji","Besar","25000","4","100000","Cash",""
"Live","2024-01-25","Peralatan Pemanas","[NEW] Microwave","Biru","1095000","1","1095000","Tf","085760019088"
"Toko","2024-01-25","Peralatan Persiapan Bahan","[NEW] Cobek","Hitam","67000","4","268000","Cash",""
"Live","2024-01-26","Peralatan Pendingin","[SCD] Ice Box","2L","13000","5","65000","Qris","088821969272"
"Live","2024-01-26","Peralatan Elektronik Dapur Kecil","[NEW] Mixer","Kecil","979000","3","2937000","Qris","086071870258"
"Live","2024-01-26","Peralatan Kebersihan Dapur","[NEW] Spons Cuci Piring","Plastik","63000","4","252000","Qris","081082259273"
"Live","2024-01-26","Peralatan Penyimpanan Makanan","[NEW] Rak Bumbu","Sedang","20000","2","40000","Tf","081844667753"
"Live","2024-01-26","Peralatan Persiapan Bahan","[NEW] Mangkuk Adonan","2L","84000","2","168000","Qris","082668523771"
"Live","2024-01-26","Peralatan Minum","[NEW] Termos","Kecil","45000","5","225000","Qris","086256127506"
"Toko","2024-01-26","Peralatan Baking","[SCD] Kuas Kue","Silver","149500","2","299000","Qris",""
"Live","2024-01-26","Peralatan Pendingin","[SCD] Cetakan Es Batu","Besar","39500","3","118500","Tf","088142529614"
"Toko","2024-01-26","Peralatan Pemanas","[NEW] Kompor Gas","Merah","1099000","3","3297000","Qris",""
"Toko","2024-01-26","Peralatan Penyajian","[NEW] Mangkuk Saji","Biru","51000","2","102000","Tf",""
"Live","2024-01-26","Peralatan Pemanas","[NEW] Kompor Listrik","1L","741000","4","2964000","Qris","087831605949"
"Toko","2024-01-26","Peralatan Pengukuran","[SCD] Sendok Takar","500ml","33500","3","100500","Qris",""
"Toko","2024-01-26","Peralatan Kebersihan Dapur","[PRV] Spons Cuci Piring","Biru","47500","4","190000","Cash",""
"Toko","2024-01-26","Peralatan Minum","[SCD] Termos","250ml","15500","1","15500","Qris",""
"Live","2024-01-28","Peralatan Pengaduk & Pencampur","[NEW] Whisk","500ml","88000","4","352000","Tf","084635713478"
"Toko","2024-01-28","Peralatan Memasak Utama","[PRV] Presto","Besar","210000","3","630000","Tf",""
"Live","2024-01-28","Peralatan Khusus / Unik","[NEW] Cetakan Bento","250ml","48000","2","96000","Qris","086126210662"
"Toko","2024-01-28","Peralatan Baking","[NEW] Cetakan Muffin","Hitam","59000","5","295000","Tf",""
"Toko","2024-01-28","Peralatan Penyajian","[NEW] Mangkuk Saji","1L","80000","3","240000","Tf",""
"Toko","2024-01-29","Peralatan Kebersihan Dapur","[NEW] Tempat Sabun","Kecil","75000","1","75000","Cash",""
"Toko","2024-01-29","Peralatan Penyajian","[NEW] Nampan","Kecil","41000","1","41000","Qris",""
"Live","2024-01-29","Peralatan Khusus / Unik","[PRV] Cetakan Bento","500ml","33500","3","100500","Qris","086474069823"
"Live","2024-01-29","Peralatan Kebersihan Dapur","[SCD] Lap Dapur","2L","46000","1","46000","Tf","087310581448"
"Toko","2024-01-29","Peralatan Pengukuran","[SCD] Gelas Ukur","Stainless","49500","3","148500","Tf",""
"Live","2024-01-29","Peralatan Pendingin","[NEW] Cooler Bag","Hitam","20000","5","100000","Tf","082911562567"
"Live","2024-01-30","Peralatan Persiapan Bahan","[SCD] Mangkuk Adonan","1.5L","6500","5","32500","Qris","081693611559"
"Live","2024-01-30","Peralatan Elektronik Dapur Kecil","[SCD] Toaster","Hitam","317500","4","1270000","Qris","085134435128"
"Live","2024-01-30","Peralatan Penyimpanan Makanan","[PRV] Rak Bumbu","Hitam","52500","4","210000","Tf","082870109668"
"Live","2024-01-30","Peralatan Elektronik Dapur Kecil","[NEW] Rice Cooker","Plastik","344000","1","344000","Qris","081897215518"
"Toko","2024-01-30","Peralatan Penyimpanan Makanan","[SCD] Toples Kaca","1.5L","32000","5","160000","Cash",""
"Toko","2024-01-30","Peralatan Pengukuran","[NEW] Sendok Takar","2L","34000","1","34000","Qris",""
"Toko","2024-01-30","Peralatan Pemotong Khusus","[NEW] Peeler","Biru","48000","2","96000","Tf",""
"Live","2024-01-30","Peralatan Elektronik Dapur Kecil","[SCD] Rice Cooker","Putih","727500","1","727500","Qris","088433743326"
"Toko","2024-01-31","Peralatan Baking","[SCD] Kuas Kue","Kecil","29000","4","116000","Tf",""
"Toko","2024-01-31","Peralatan Minum","[SCD] Teko Air","Kayu","31500","4","126000","Cash",""
"Toko","2024-01-31","Peralatan Penyimpanan Makanan","[SCD] Kotak Makan Plastik","Hitam","10500","3","31500","Tf",""
"Toko","2024-01-31","Peralatan Penyaring & Peniris","[NEW] Peniris Gorengan","Kayu","15000","5","75000","Qris",""
"Live","2024-01-31","Peralatan Pemanas","[SCD] Kompor Gas","Putih","533500","4","2134000","Qris","081048303158"
"Live","2024-01-31","Peralatan Pengukuran","[NEW] Sendok Takar","Stainless","45000","3","135000","Tf","084936706053"
"Toko","2024-02-01","Peralatan Elektronik Dapur Kecil","[NEW] Mixer","Kayu","1224000","2","2448000","Tf",""
"Live","2024-02-01","Peralatan Pemanas","[SCD] Kompor Listrik","Putih","378500","5","1892500","Qris","084711613249"
"Toko","2024-02-02","Peralatan Pemanas","[SCD] Microwave","Merah","717500","5","3587500","Qris",""
"Live","2024-02-02","Peralatan Khusus / Unik","[NEW] Cetakan Bento","Merah","70000","2","140000","Qris","089704026370"
"Toko","2024-02-02","Peralatan Khusus / Unik","[PRV] Pemecah Kemiri","5L","49000","5","245000","Cash",""
"Live","2024-02-02","Peralatan Pemotong Khusus","[NEW] Pisau Daging","Hitam","48000","2","96000","Tf","089213243233"
"Toko","2024-02-02","Peralatan Baking","[PRV] Loyang Kue","Plastik","43500","2","87000","Cash",""
"Live","2024-02-02","Peralatan Pendingin","[NEW] Ice Box","5L","71000","1","71000","Tf","088309627794"
"Toko","2024-02-02","Peralatan Pendingin","[NEW] Cooler Bag","1L","13000","3","39000","Tf",""
"Live","2024-02-02","Peralatan Persiapan Bahan","[NEW] Cobek","Plastik","66000","3","198000","Tf","088822309431"
"Live","2024-02-02","Peralatan Penyajian","[SCD] Nampan","2L","9500","4","38000","Tf","082276834058"
"Toko","2024-02-02","Peralatan Pendingin","[SCD] Cooler Bag","Kayu","32000","5","160000","Cash",""
"Toko","2024-02-02","Peralatan Elektronik Dapur Kecil","[SCD] Mixer","Biru","261500","3","784500","Tf",""
"Live","2024-02-02","Peralatan Kebersihan Dapur","[PRV] Lap Dapur","1L","21000","5","105000","Qris","085526541949"
"Live","2024-02-03","Peralatan Pengaduk & Pencampur","[NEW] Centong","2L","13000","1","13000","Tf","084926841511"
"Live","2024-02-03","Peralatan Persiapan Bahan","[NEW] Cobek","Plastik","42000","2","84000","Tf","086063139970"
"Toko","2024-02-03","Peralatan Penyimpanan Makanan","[PRV] Rak Bumbu","Hitam","44000","1","44000","Tf",""
"Toko","2024-02-04","Peralatan Pengukuran","[NEW] Sendok Takar","Besar","17000","4","68000","Qris",""
"Live","2024-02-04","Peralatan Minum","[SCD] Teko Air","Hitam","14000","1","14000","Qris","086921930893"
"Live","2024-02-04","Peralatan Minum","[SCD] Gelas Kaca","Besar","24000","5","120000","Tf","088524003711"
"Live","2024-02-04","Peralatan Penyaring & Peniris","[NEW] Saringan Mie","5L","15000","1","15000","Tf","081594923765"
"Live","2024-02-04","Peralatan Kebersihan Dapur","[PRV] Spons Cuci Piring","Biru","12000","5","60000","Qris","082323176353"
"Toko","2024-02-04","Peralatan Pemanas","[NEW] Microwave","1L","800000","2","1600000","Tf",""
"Toko","2024-02-05","Peralatan Memasak Utama","[PRV] Teflon","250ml","78500","5","392500","Tf",""
"Toko","2024-02-05","Peralatan Pengaduk & Pencampur","[NEW] Sendok Sayur","500ml","47000","2","94000","Tf",""
"Toko","2024-02-06","Peralatan Baking","[SCD] Kuas Kue","Stainless","129000","5","645000","Tf",""
"Toko","2024-02-06","Peralatan Pendingin","[NEW] Ice Box","Sedang","80000","3","240000","Qris",""
"Toko","2024-02-06","Peralatan Khusus / Unik","[NEW] Alat Pembuat Sushi","Biru","56000","4","224000","Qris",""
"Toko","2024-02-06","Peralatan Penyaring & Peniris","[NEW] Saringan Mie","Kayu","80000","3","240000","Cash",""
"Live","2024-02-06","Peralatan Penyaring & Peniris","[SCD] Saringan Teh","Besar","29500","3","88500","Qris","082861184578"
"Toko","2024-02-06","Peralatan Pengaduk & Pencampur","[NEW] Sendok Sayur","Sedang","89000","2","178000","Tf",""
"Live","2024-02-06","Peralatan Penyimpanan Makanan","[PRV] Food Container","2L","62500","4","250000","Tf","083728028428"
"Live","2024-02-07","Peralatan Pemanas","[SCD] Kompor Listrik","Kayu","231000","4","924000","Qris","085760827468"
"Live","2024-02-07","Peralatan Baking","[NEW] Loyang Kue","Biru","117000","4","468000","Tf","083843059400"
"Toko","2024-02-07","Peralatan Pengukuran","[NEW] Gelas Ukur","500ml","62000","1","62000","Cash",""
"Toko","2024-02-07","Peralatan Baking","[NEW] Loyang Kue","Merah","132000","4","528000","Qris",""
"Toko","2024-02-07","Peralatan Minum","[SCD] Gelas Kaca","5L","7500","3","22500","Cash",""
"Toko","2024-02-08","Peralatan Kebersihan Dapur","[NEW] Lap Dapur","Kecil","23000","2","46000","Cash",""
"Live","2024-02-08","Peralatan Minum","[NEW] Teko Air","Besar","23000","5","115000","Qris","088437074993"
"Live","2024-02-08","Peralatan Persiapan Bahan","[NEW] Talenan","Plastik","15000","3","45000","Qris","088199402749"
"Live","2024-02-08","Peralatan Pengukuran","[SCD] Timbangan Dapur","1.5L","5000","5","25000","Qris","086672128749"
"Toko","2024-02-08","Peralatan Penyimpanan Makanan","[NEW] Rak Bumbu","Stainless","44000","3","132000","Tf",""
"Live","2024-02-09","Peralatan Pemotong Khusus","[NEW] Pisau Daging","500ml","77000","2","154000","Tf","085069300916"
"Live","2024-02-09","Peralatan Memasak Utama","[NEW] Wajan","Stainless","250000","3","750000","Qris","089866919077"
"Live","2024-02-09","Peralatan Pemanas","[PRV] Oven","Besar","371000","4","1484000","Tf","081360552533"
"Toko","2024-02-09","Peralatan Pemanas","[NEW] Kompor Listrik","Kecil","783000","2","1566000","Tf",""
"Live","2024-02-09","Peralatan Pengukuran","[NEW] Sendok Takar","Hitam","47000","2","94000","Qris","081947853846"
"Toko","2024-02-10","Peralatan Pemanas","[NEW] Oven","Kayu","1498000","3","4494000","Qris",""
"Toko","2024-02-10","Peralatan Pendingin","[NEW] Ice Box","250ml","44000","1","44000","Tf",""
"Toko","2024-02-11","Peralatan Kebersihan Dapur","[SCD] Sikat Panci","500ml","26000","2","52000","Qris",""
"Live","2024-02-11","Peralatan Baking","[PRV] Rolling Pin","Hitam","196000","1","196000","Qris","088136274957"
"Toko","2024-02-12","Peralatan Pemotong Khusus","[NEW] Pisau Daging","250ml","40000","1","40000","Cash",""
"Toko","2024-02-12","Peralatan Pengaduk & Pencampur","[NEW] Centong","250ml","91000","5","455000","Cash",""
"Toko","2024-02-13","Peralatan Baking","[SCD] Kuas Kue","Sedang","139000","2","278000","Cash",""
"Toko","2024-02-13","Peralatan Pemanas","[NEW] Kompor Listrik","Silver","543000","2","1086000","Qris",""
"Live","2024-02-13","Peralatan Elektronik Dapur Kecil","[NEW] Blender","Silver","1212000","3","3636000","Qris","086695889196"
"Toko","2024-02-14","Peralatan Minum","[NEW] Termos","Kayu","80000","2","160000","Qris",""
"Live","2024-02-14","Peralatan Khusus / Unik","[SCD] Cetakan Bento","Putih","17000","5","85000","Qris","086250040250"
"Toko","2024-02-14","Peralatan Penyajian","[NEW] Nampan","Plastik","75000","5","375000","Cash",""
"Live","2024-02-14","Peralatan Minum","[SCD] Termos","2L","49000","3","147000","Tf","086694781637"
"Live","2024-02-14","Peralatan Penyimpanan Makanan","[NEW] Food Container","1.5L","79000","4","316000","Tf","086336947664"
"Live","2024-02-14","Peralatan Elektronik Dapur Kecil","[PRV] Rice Cooker","Sedang","412500","5","2062500","Tf","083096424604"
"Live","2024-02-15","Peralatan Persiapan Bahan","[NEW] Baskom","1L","64000","3","192000","Qris","088452244779"
"Live","2024-02-15","Peralatan Pengaduk & Pencampur","[SCD] Centong","Kayu","10500","3","31500","Tf","084388250126"
"Toko","2024-02-15","Peralatan Penyaring & Peniris","[NEW] Keranjang Cuci Sayur","Besar","38000","1","38000","Tf",""
"Toko","2024-02-16","Peralatan Elektronik Dapur Kecil","[SCD] Toaster","Stainless","333000","5","1665000","Cash",""
"Toko","2024-02-16","Peralatan Kebersihan Dapur","[SCD] Spons Cuci Piring","Plastik","30500","4","122000","Cash",""
"Live","2024-02-16","Peralatan Pengaduk & Pencampur","[PRV] Centong","500ml","34500","2","69000","Qris","084132520662"
"Toko","2024-02-16","Peralatan Pengukuran","[NEW] Sendok Takar","Stainless","86000","1","86000","Tf",""
"Live","2024-02-17","Peralatan Pengukuran","[NEW] Gelas Ukur","Sedang","29000","4","116000","Tf","081446470236"
"Live","2024-02-17","Peralatan Pengukuran","[NEW] Timbangan Dapur","500ml","63000","2","126000","Tf","087369634331"
"Toko","2024-02-17","Peralatan Khusus / Unik","[NEW] Pemecah Kemiri","Kecil","13000","3","39000","Cash",""
"Toko","2024-02-17","Peralatan Pendingin","[NEW] Ice Box","500ml","32000","4","128000","Tf",""
"Live","2024-02-18","Peralatan Pengukuran","[NEW] Timbangan Dapur","Sedang","85000","2","170000","Tf","085042093336"
"Toko","2024-02-18","Peralatan Elektronik Dapur Kecil","[SCD] Blender","2L","80500","3","241500","Cash",""
"Toko","2024-02-19","Peralatan Pendingin","[NEW] Cetakan Es Batu","Putih","91000","2","182000","Qris",""
"Live","2024-02-19","Peralatan Penyimpanan Makanan","[NEW] Food Container","Silver","40000","4","160000","Qris","086952434656"
"Live","2024-02-19","Peralatan Memasak Utama","[NEW] Presto","Kayu","111000","4","444000","Qris","088906474258"
"Toko","2024-02-20","Peralatan Penyajian","[NEW] Mangkuk Saji","Hitam","16000","1","16000","Tf",""
"Live","2024-02-21","Peralatan Penyaring & Peniris","[SCD] Keranjang Cuci Sayur","Plastik","14000","1","14000","Tf","087055868763"
"Toko","2024-02-21","Peralatan Elektronik Dapur Kecil","[SCD] Rice Cooker","Kayu","314000","1","314000","Qris",""
"Live","2024-02-23","Peralatan Pemotong Khusus","[NEW] Pisau Daging","Biru","14000","1","14000","Tf","083056733592"
"Live","2024-02-23","Peralatan Memasak Utama","[NEW] Teflon","Merah","288000","3","864000","Qris","083774161211"
"Toko","2024-02-23","Peralatan Pemanas","[PRV] Kompor Listrik","Biru","792500","4","3170000","Cash",""
"Toko","2024-02-23","Peralatan Baking","[NEW] Kuas Kue","250ml","228000","4","912000","Qris",""
"Toko","2024-02-24","Peralatan Baking","[NEW] Rolling Pin","Biru","273000","4","1092000","Qris",""
"Toko","2024-02-25","Peralatan Pengaduk & Pencampur","[NEW] Sendok Sayur","Merah","66000","4","264000","Qris",""
"Toko","2024-02-25","Peralatan Persiapan Bahan","[SCD] Cobek","Putih","26000","3","78000","Tf",""
"Live","2024-02-25","Peralatan Kebersihan Dapur","[NEW] Sikat Panci","Sedang","86000","2","172000","Qris","082029177698"
"Live","2024-02-25","Peralatan Pengukuran","[SCD] Gelas Ukur","Kecil","41500","5","207500","Tf","088977463501"
"Live","2024-02-25","Peralatan Khusus / Unik","[NEW] Pemecah Kemiri","Biru","62000","4","248000","Qris","086287638365"
"Toko","2024-02-25","Peralatan Pemanas","[PRV] Microwave","1L","735500","3","2206500","Cash",""
"Toko","2024-02-26","Peralatan Baking","[SCD] Cetakan Muffin","Stainless","115000","2","230000","Tf",""
"Live","2024-02-26","Peralatan Penyaring & Peniris","[NEW] Saringan Mie","Merah","62000","5","310000","Qris","083739369915"
"Live","2024-02-26","Peralatan Minum","[NEW] Gelas Kaca","Putih","12000","5","60000","Tf","085332818458"
"Toko","2024-02-26","Peralatan Khusus / Unik","[PRV] Alat Pembuat Sushi","Putih","15500","5","77500","Tf",""
"Live","2024-02-26","Peralatan Minum","[NEW] Teko Air","Besar","57000","1","57000","Tf","084372373489"
"Toko","2024-02-26","Peralatan Pemotong Khusus","[NEW] Pisau Daging","2L","95000","4","380000","Qris",""
"Toko","2024-02-26","Peralatan Penyimpanan Makanan","[SCD] Kotak Makan Plastik","Hitam","29500","3","88500","Cash",""
"Live","2024-02-26","Peralatan Pengaduk & Pencampur","[NEW] Centong","Stainless","91000","3","273000","Qris","083784972072"
"Live","2024-02-26","Peralatan Memasak Utama","[NEW] Teflon","500ml","171000","5","855000","Qris","087400626512"
"Toko","2024-02-26","Peralatan Kebersihan Dapur","[SCD] Lap Dapur","Kayu","18000","2","36000","Cash",""
"Toko","2024-02-26","Peralatan Pengukuran","[NEW] Timbangan Dapur","Kecil","15000","5","75000","Tf",""
"Toko","2024-02-27","Peralatan Pemotong Khusus","[NEW] Pisau Roti","1.5L","53000","3","159000","Tf",""
"Live","2024-02-27","Peralatan Pengaduk & Pencampur","[PRV] Spatula","500ml","59000","5","295000","Qris","081830831864"
"Live","2024-02-27","Peralatan Penyimpanan Makanan","[SCD] Toples Kaca","Sedang","26000","3","78000","Tf","087673531216"
"Toko","2024-02-27","Peralatan Elektronik Dapur Kecil","[SCD] Toaster","Besar","165500","5","827500","Qris",""
"Live","2024-02-27","Peralatan Pemanas","[NEW] Kompor Listrik","Kayu","298000","1","298000","Tf","089110182045"
"Toko","2024-02-27","Peralatan Khusus / Unik","[NEW] Pengupas Nanas","Putih","50000","5","250000","Qris",""
"Live","2024-02-28","Peralatan Baking","[PRV] Cetakan Muffin","1L","85500","1","85500","Qris","087257216796"
"Toko","2024-02-28","Peralatan Memasak Utama","[NEW] Panci","Kayu","104000","4","416000","Qris",""
"Live","2024-02-28","Peralatan Khusus / Unik","[NEW] Cetakan Bento","Kecil","29000","5","145000","Tf","089314379291"
"Live","2024-02-28","Peralatan Elektronik Dapur Kecil","[NEW] Toaster","1.5L","684000","3","2052000","Tf","089936917584"
"Toko","2024-02-28","Peralatan Memasak Utama","[NEW] Teflon","Putih","104000","2","208000","Cash",""
"Toko","2024-02-28","Peralatan Pemotong Khusus","[NEW] Peeler","Merah","11000","4","44000","Cash",""
"Live","2024-02-28","Peralatan Minum","[PRV] Termos","Sedang","30000","2","60000","Qris","082116770436"
"Toko","2024-02-28","Peralatan Pemotong Khusus","[NEW] Pisau Daging","500ml","83000","3","249000","Qris",""
"Toko","2024-02-29","Peralatan Penyimpanan Makanan","[NEW] Kotak Makan Plastik","Sedang","18000","1","18000","Cash",""
"Toko","2024-02-29","Peralatan Pengukuran","[NEW] Sendok Takar","Hitam","46000","2","92000","Qris",""
"Live","2024-02-29","Peralatan Minum","[SCD] Mug Keramik","Hitam","32000","2","64000","Qris","081820557523"
"Live","2024-03-01","Peralatan Pengaduk & Pencampur","[SCD] Whisk","Besar","27000","4","108000","Tf","086342730597"
"Toko","2024-03-01","Peralatan Penyaring & Peniris","[NEW] Saringan Mie","Sedang","71000","5","355000","Tf",""
"Toko","2024-03-03","Peralatan Pemanas","[NEW] Kompor Gas","2L","977000","5","4885000","Tf",""
"Live","2024-03-03","Peralatan Kebersihan Dapur","[NEW] Spons Cuci Piring","2L","89000","1","89000","Qris","088825737752"
"Toko","2024-03-03","Peralatan Baking","[PRV] Kuas Kue","2L","89000","3","267000","Cash",""
"Live","2024-03-03","Peralatan Pengukuran","[SCD] Gelas Ukur","1.5L","34500","2","69000","Tf","089426135308"
"Toko","2024-03-03","Peralatan Penyaring & Peniris","[NEW] Peniris Gorengan","Besar","71000","2","142000","Qris",""
"Live","2024-03-03","Peralatan Pendingin","[PRV] Cooler Bag","Stainless","36500","4","146000","Qris","083324623281"
"Toko","2024-03-03","Peralatan Baking","[PRV] Loyang Kue","1.5L","167500","5","837500","Qris",""
"Toko","2024-03-03","Peralatan Pendingin","[NEW] Ice Box","500ml","69000","5","345000","Cash",""
"Toko","2024-03-03","Peralatan Penyaring & Peniris","[PRV] Saringan Mie","1L","15500","3","46500","Qris",""
